instance,optic-status,optic-quality,aries-optic-status,aries-optic-quality,lpg-status,lpg-quality,aries-lpg-status,aries-lpg-quality,aries-status,aries-quality
jobshop:28,SOLVED,2263.52,SOLVED,1506.23,SOLVED,1512.33,SOLVED,1409.25,SOLVED,1901.36
jobshop:29,SOLVED,2800.56,SOLVED,2058.35,SOLVED,1725.35,SOLVED,1523.32,SOLVED,2255.46
jobshop:3,SOLVED,1403.34,SOLVED,797.18,SOLVED,939.21,SOLVED,798.14,SOLVED,806.12
jobshop:30,SOLVED,2651.58,SOLVED,1512.25,SOLVED,1638.31,SOLVED,1793.33,SOLVED,2267.42
jobshop:31,SOLVED,3308.75,SOLVED,2766.52,SOLVED,2229.52,SOLVED,2652.57,SOLVED,3923.75
jobshop:32,SOLVED,2451.7,SOLVED,2314.62,SOLVED,1699.44,SOLVED,2667.62,SOLVED,3488.75
jobshop:33,SOLVED,3044.7,SOLVED,2439.54,SOLVED,1967.43,SOLVED,2795.65,SOLVED,3719.74
jobshop:34,SOLVED,2969.68,SOLVED,2422.56,SOLVED,2137.47,SOLVED,3143.61,SOLVED,3984.76
jobshop:35,SOLVED,3034.72,SOLVED,2564.55,SOLVED,2099.49,SOLVED,2980.58,SOLVED,4141.74
jobshop:36,SOLVED,3369.69,SOLVED,2599.53,SOLVED,1966.41,SOLVED,2849.68,SOLVED,3594.73
jobshop:37,SOLVED,2675.61,SOLVED,2411.52,SOLVED,1795.38,SOLVED,2705.64,SOLVED,3404.74
jobshop:38,SOLVED,2740.61,SOLVED,2778.65,SOLVED,1894.42,SOLVED,3295.68,SOLVED,3636.74
jobshop:39,SOLVED,2633.58,SOLVED,2282.46,SOLVED,1943.48,SOLVED,3099.62,SOLVED,3607.75
jobshop:4,SOLVED,1592.36,SOLVED,837.17,SOLVED,1026.25,SOLVED,840.13,SOLVED,836.16
jobshop:40,SOLVED,2599.58,SOLVED,2363.55,SOLVED,2149.44,SOLVED,3411.66,SOLVED,3961.73
jobshop:5,SOLVED,1565.35,SOLVED,761.19,SOLVED,926.23,SOLVED,761.18,SOLVED,761.18
jobshop:6,SOLVED,2477.56,SOLVED,1577.31,SOLVED,1613.35,SOLVED,1525.33,SOLVED,1631.37
jobshop:7,SOLVED,2330.55,SOLVED,1589.39,SOLVED,1581.37,SOLVED,1498.32,SOLVED,1661.34
jobshop:8,SOLVED,2401.53,SOLVED,1523.26,SOLVED,1672.37,SOLVED,1721.31,SOLVED,2017.43
jobshop:9,SOLVED,2944.59,SOLVED,1780.35,SOLVED,1834.36,SOLVED,1896.36,SOLVED,2013.37
match-cellar:1,SOLVED,15.02,SOLVED,13.06,UNSOLVABLE,,SOLVED,13.06,SOLVED,13.06
match-cellar:10,SOLVED,60.11,SOLVED,49.33,UNSOLVABLE,,SOLVED,49.33,SOLVED,49.33
match-cellar:11,SOLVED,65.12,SOLVED,53.36,UNSOLVABLE,,SOLVED,53.36,SOLVED,53.36
match-cellar:12,SOLVED,70.13,SOLVED,57.39,UNSOLVABLE,,SOLVED,57.39,SOLVED,57.39
match-cellar:13,SOLVED,75.14,SOLVED,61.42,UNSOLVABLE,,SOLVED,61.42,SOLVED,61.42
match-cellar:14,SOLVED,80.15,SOLVED,65.45,UNSOLVABLE,,SOLVED,65.45,SOLVED,65.45
match-cellar:15,SOLVED,85.16,SOLVED,69.48,UNSOLVABLE,,SOLVED,69.48,TIMEOUT,
match-cellar:16,SOLVED,90.17,SOLVED,73.51,UNSOLVABLE,,SOLVED,73.51,SOLVED,73.51
match-cellar:17,SOLVED,95.18,SOLVED,77.54,UNSOLVABLE,,UNSOLVABLE,,TIMEOUT,
match-cellar:18,SOLVED,100.19,SOLVED,81.57,UNSOLVABLE,,UNSOLVABLE,,TIMEOUT,
match-cellar:19,SOLVED,105.2,SOLVED,105.2,UNSOLVABLE,,UNSOLVABLE,,TIMEOUT,
match-cellar:2,SOLVED,20.03,SOLVED,17.09,UNSOLVABLE,,SOLVED,17.09,SOLVED,17.09
match-cellar:20,SOLVED,110.21,SOLVED,89.63,UNSOLVABLE,,UNSOLVABLE,,TIMEOUT,
match-cellar:3,SOLVED,25.04,SOLVED,21.12,UNSOLVABLE,,SOLVED,21.12,SOLVED,21.12
match-cellar:4,SOLVED,30.05,SOLVED,25.15,UNSOLVABLE,,SOLVED,25.15,SOLVED,25.15
match-cellar:5,SOLVED,35.06,SOLVED,29.18,UNSOLVABLE,,SOLVED,29.18,SOLVED,29.18
match-cellar:6,SOLVED,40.07,SOLVED,33.21,UNSOLVABLE,,SOLVED,33.21,SOLVED,33.21
match-cellar:7,SOLVED,45.08,SOLVED,37.24,UNSOLVABLE,,SOLVED,37.24,SOLVED,37.24
match-cellar:8,SOLVED,50.09,SOLVED,41.27,UNSOLVABLE,,SOLVED,41.27,SOLVED,41.27
match-cellar:9,SOLVED,55.1,SOLVED,45.3,UNSOLVABLE,,SOLVED,45.3,SOLVED,45.3
openstacks:1,SOLVED,82.04,SOLVED,82.03,SOLVED,94.06,SOLVED,82.03,SOLVED,82.03
openstacks:10,SOLVED,114.06,SOLVED,102.04,SOLVED,178.21,SOLVED,102.04,SOLVED,102.04
openstacks:11,SOLVED,92.12,SOLVED,94.09,SOLVED,226.13,SOLVED,92.04,SOLVED,92.04
openstacks:12,SOLVED,104.17,SOLVED,114.16,SOLVED,352.24,SOLVED,102.04,SOLVED,102.04
